date,symbol,cusip,shares,usd
2018-03-31,MMM,88579Y101,2702412.0,593233000
2018-03-31,ADP,53015103,5777983.0,655685000
2018-03-31,BDX,75887109,3605906.0,781400000
2018-03-31,CL,194162103,3127734.0,224196000
2018-03-31,IDXX,45168D104,4427657.0,847410000
2018-03-31,INTU,461202103,3967675.0,687797000
2018-03-31,JNJ,478160104,4327311.0,554545000
2018-03-31,EL,518439104,4309460.0,645212000
2018-03-31,MAR,571903202,136742.0,18594000
2018-03-31,MSFT,594918104,12075307.0,1102113000
2018-03-31,PYPL,70450Y103,15224967.0,1155118000
2018-03-31,PEP,713448108,6583613.0,718601000
2018-03-31,PM,718172109,8908787.0,885534000
2018-03-31,SYK,863667101,5514447.0,887385000
2018-03-31,V,92826C839,5720718.0,684313000
2018-03-31,WAT,941848103,4368590.0,867820000
2018-03-31,FB,30303M102,5142881.0,821781000
2017-12-31,MMM,88579Y101,2689620.0,633056000
2017-12-31,ADP,53015103,5523192.0,647263000
2017-12-31,BCR,67383109,2483956.0,822786000
2017-12-31,BDX,75887109,2301915.0,492748000
2017-12-31,CL,194162103,2495261.0,188268000
2017-12-31,DPS,26138E109,8742447.0,848542000
2017-12-31,IDXX,45168D104,4404756.0,688816000
2017-12-31,INTU,461202103,2757670.0,435105000
2017-12-31,JNJ,478160104,4331856.0,605247000
2017-12-31,EL,518439104,3844901.0,489225000
2017-12-31,MAR,571903202,139695.0,18961000
2017-12-31,MSFT,594918104,11091160.0,948738000
2017-12-31,PYPL,70450Y103,14461577.0,1064661000
2017-12-31,PEP,713448108,5803600.0,695967000
2017-12-31,PM,718172109,7507597.0,793177000
2017-12-31,SYK,863667101,5138240.0,795605000
2017-12-31,V,92826C839,5732658.0,653638000
2017-12-31,WAT,941848103,4365313.0,843335000
2017-09-30,MMM,88579Y101,2615924.0,548141000
2017-09-30,ADP,53015103,5553237.0,605414000
2017-09-30,BCR,67383109,2528269.0,807226000
2017-09-30,BDX,75887109,2301915.0,445651000
2017-09-30,CL,194162103,2477902.0,181234000
2017-09-30,DPS,26138E109,7489891.0,661732000
2017-09-30,JNJ,478160104,4374191.0,566064000
2017-09-30,INTU,461202103,2184854.0,310905000
2017-09-30,MSFT,594918104,11076335.0,817987000
2017-09-30,PEP,713448108,5560322.0,621700000
2017-09-30,PM,718172109,6251789.0,698887000
2017-09-30,SYK,863667101,5174629.0,725483000
2017-09-30,V,92826C839,5216150.0,545348000
2017-09-30,WAT,941848103,4355756.0,778548000
2017-09-30,IDXX,45168D104,4444708.0,686218000
2017-09-30,PYPL,70450Y103,14048210.0,897962000
2017-09-30,EL,518439104,3844901.0,408867000
2017-09-30,MAR,571903202,184690.0,20316000
2017-06-30,MMM,88579Y101,2154065.0,448445000
2017-06-30,ADP,53015103,5176340.0,530368000
2017-06-30,BCR,67383109,2547140.0,804522000
2017-06-30,BDX,75887109,2302590.0,449258000
2017-06-30,CL,194162103,2105319.0,155202000
2017-06-30,DPS,26138E109,5291897.0,482145000
2017-06-30,JNJ,478160104,4078477.0,539542000
2017-06-30,INTU,461202103,1090434.0,144464000
2017-06-30,MSFT,594918104,10720725.0,738980000
2017-06-30,PEP,713448108,5334959.0,616134000
2017-06-30,PM,718172109,5240912.0,615545000
2017-06-30,SYK,863667101,5176005.0,718326000
2017-06-30,V,92826C839,5217623.0,489309000
2017-06-30,WAT,941848103,3833955.0,704834000
2017-06-30,IDXX,45168D104,4446040.0,717680000
2017-06-30,PYPL,70450Y103,14051261.0,754131000
2017-06-30,SJM,832696405,2043846.0,240295000
2017-06-30,EL,518439104,3845509.0,369092000
2017-06-30,MAR,571903202,184750.0,18526000
2017-03-31,MMM,88579Y101,1954349.0,373926000
2017-03-31,ADP,53015103,4011368.0,410724000
2017-03-31,BCR,67383109,2553141.0,633996000
2017-03-31,BDX,75887109,2296613.0,421291000
2017-03-31,CL,194162103,2123477.0,154581000
2017-03-31,DPS,26138E109,5329086.0,521824000
2017-03-31,JNJ,478160104,4104073.0,511162000
2017-03-31,MSFT,594918104,10202117.0,671911000
2017-03-31,PEP,713448108,5370205.0,600711000
2017-03-31,PM,718172109,5161806.0,582768000
2017-03-31,SYK,863667101,5175453.0,681348000
2017-03-31,V,92826C839,4954693.0,440324000
2017-03-31,WAT,941848103,3432535.0,536540000
2017-03-31,IDXX,45168D104,4480207.0,692685000
2017-03-31,PYPL,70450Y103,13161285.0,566198000
2017-03-31,SJM,832696405,3614566.0,473797000
2017-03-31,EL,518439104,3727020.0,316014000
2017-03-31,MAR,571903202,184690.0,17394000
2016-12-31,MMM,88579Y101,1960542.0,349780000
2016-12-31,ADP,53015103,3878243.0,401243000
2016-12-31,BCR,67383109,2500869.0,560445000
2016-12-31,BDX,75887109,2224922.0,369671000
2016-12-31,CL,194162103,1925410.0,126846000
2016-12-31,DPS,26138E109,5304854.0,482529000
2016-12-31,JNJ,478160104,4103392.0,473901000
2016-12-31,MSFT,594918104,10202283.0,641622000
2016-12-31,PEP,713448108,4991525.0,524060000
2016-12-31,PM,718172109,5153071.0,472692000
2016-12-31,SYK,863667101,4949396.0,596600000
2016-12-31,V,92826C839,4952292.0,387963000
2016-12-31,WAT,941848103,3083357.0,414711000
2016-12-31,IDXX,45168D104,4476866.0,528629000
2016-12-31,PYPL,70450Y103,12595293.0,503308000
2016-12-31,SJM,832696405,3622364.0,467828000
2016-12-31,EL,518439104,3590783.0,277460000
2016-12-31,MAR,571903202,176436.0,14971000
2016-09-30,MMM,88579Y101,1968552.0,346918000
2016-09-30,ADP,53015103,3869666.0,341305000
2016-09-30,BCR,67383109,2498181.0,559630000
2016-09-30,BDX,75887109,2055436.0,369424000
2016-09-30,CL,194162103,1905537.0,140507000
2016-09-30,DPS,26138E109,3948607.0,360547000
2016-09-30,JNJ,478160104,3983318.0,470549000
2016-09-30,MSFT,594918104,9934933.0,572252000
2016-09-30,PEP,713448108,4602811.0,500648000
2016-09-30,PM,718172109,4966048.0,482799000
2016-09-30,SYK,863667101,4136878.0,481574000
2016-09-30,V,92826C839,4944537.0,408913000
2016-09-30,WAT,941848103,3030360.0,480282000
2016-09-30,IDXX,45168D104,4490883.0,506257000
2016-09-30,PYPL,70450Y103,11918335.0,488294000
2016-09-30,SJM,832696405,3623898.0,488382000
2016-09-30,EL,518439104,3430435.0,303799000
2016-09-30,MAR,571903202,196378.0,13222000
2016-09-30,ORCL,68389X105,22526.0,881000
2016-06-30,MMM,88579Y101,1936501.0,339120000
2016-06-30,ADP,53015103,3336791.0,306551000
2016-06-30,BCR,67383109,2197626.0,516220000
2016-06-30,BDX,75887109,1793493.0,304158000
2016-06-30,CL,194162103,1384087.0,100785000
2016-06-30,DPS,26138E109,3601159.0,347980000
2016-06-30,JNJ,478160104,3704693.0,449379000
2016-06-30,MSFT,594918104,8837391.0,452209000
2016-06-30,PEP,713448108,3540086.0,375037000
2016-06-30,PM,718172109,4367647.0,444277000
2016-06-30,SYK,863667101,3932735.0,471260000
2016-06-30,V,92826C839,4517080.0,335032000
2016-06-30,WAT,941848103,2441318.0,343371000
2016-06-30,IDXX,45168D104,4469336.0,415023000
2016-06-30,PYPL,70450Y103,9896155.0,361309000
2016-06-30,SJM,832696405,3450789.0,525935000
2016-06-30,EL,518439104,2323286.0,211465000
2016-06-30,MAR,571903202,196378.0,13051000
2016-06-30,ORCL,68389X105,22526.0,919000
2016-03-31,MMM,88579Y101,1503516.0,250531000
2016-03-31,ADP,53015103,2899555.0,260119000
2016-03-31,BCR,67383109,1762031.0,357111000
2016-03-31,BDX,75887109,1614464.0,245108000
2016-03-31,CL,194162103,1293729.0,90897000
2016-03-31,DPS,26138E109,3601159.0,322016000
2016-03-31,JNJ,478160104,2985161.0,322994000
2016-03-31,MSFT,594918104,7860330.0,434126000
2016-03-31,PEP,713448108,3115986.0,319326000
2016-03-31,PM,718172109,3913280.0,383932000
2016-03-31,SYK,863667101,3605529.0,386837000
2016-03-31,V,92826C839,3922506.0,299993000
2016-03-31,WAT,941848103,1467530.0,193597000
2016-03-31,IDXX,45168D104,4210679.0,329780000
2016-03-31,DNKN,265504100,89269.0,4211000
2016-03-31,PYPL,70450Y103,4620093.0,178336000
2016-03-31,SJM,832696405,2050979.0,266299000
2015-12-31,MMM,88579Y101,1503516.0,226490000
2015-12-31,ADP,53015103,2464152.0,208763000
2015-12-31,BCR,67383109,1587842.0,300393000
2015-12-31,BDX,75887109,1582864.0,243904000
2015-12-31,CL,194162103,1293729.0,85663000
2015-12-31,DPS,26138E109,3553749.0,331209000
2015-12-31,JNJ,478160104,2840028.0,291728000
2015-12-31,MSFT,594918104,7531685.0,417858000
2015-12-31,PEP,713448108,3087414.0,308494000
2015-12-31,PM,718172109,3616490.0,317926000
2015-12-31,PG,742718109,1870102.0,147231000
2015-12-31,SYK,863667101,3198463.0,297265000
2015-12-31,V,92826C839,2791621.0,216490000
2015-12-31,WAT,941848103,1153182.0,155195000
2015-12-31,IDXX,45168D104,2491168.0,181656000
2015-12-31,DNKN,265504100,89269.0,3802000
2015-12-31,PYPL,70450Y103,4251886.0,153918000
2015-12-31,SJM,832696405,758133.0,93508000
