date,aum,avg_cap,avg_founded,holdings,geo_us,geo_gb,geo_dk,geo_es,geo_fi,geo_ch,geo_fr,geo_cash,sec_staples,sec_tech,sec_healthcare,sec_discretionary,sec_industrials,sec_cash,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,t_acc,t_inc
2016-01-29,4.6,58.8,1910,0.0,56.2,25.8,0.0,4.2,4.4,2.4,1.4,5.6,36.3,23.2,21.8,3.1,10.0,5.6,MSFT,IMB,SGE,DPS,PM,SYK,JNJ,PEP,KNEBV,BCR,229.21,215.78
2016-02-29,5.1,58.8,1910,0.0,57.8,24.8,0.0,4.3,4.3,2.2,1.2,5.4,35.1,23.1,22.9,3.7,9.8,5.4,MSFT,SYK,IMB,DPS,PM,BCR,SGE,JNJ,AMS,PEP,242.22,228.03
2016-03-31,5.5,60.5,1910,0.0,57.5,24.6,0.0,4.6,4.1,2.1,1.2,5.9,34.5,23.8,22.7,3.6,9.5,5.9,MSFT,PM,SYK,IMB,AMS,SGE,BCR,KNEBV,DPS,JNJ,247.12,232.64
2016-04-29,5.8,58.6,1910,0.0,59.5,24.2,0.0,5.1,3.8,1.9,1.5,4.0,34.7,23.4,24.7,3.8,9.4,4.0,AMS,BCR,SYK,IMB,MSFT,PM,JNJ,SGE,PEP,IHG,244.18,229.88
2016-05-31,6.2,58.7,1912,0.0,61.1,23.0,0.0,5.1,3.7,1.8,1.6,3.7,35.7,23.8,24.7,3.0,9.1,3.7,AMS,BCR,MSFT,IMB,SYK,PM,JNJ,SGE,ULVR,KNEBV,248.74,234.16
2016-06-30,7.1,63.2,1912,0.0,62.4,23.0,0.0,4.7,3.4,2.1,2.0,2.4,37.2,23.1,24.7,3.9,8.7,2.4,SJM,BCR,AMS,SYK,MSFT,IMB,JNJ,PM,IDXX,SGE,269.3,253.52
2016-07-29,7.8,67.2,1912,28.0,61.1,22.4,0.0,5.2,3.5,2.1,1.9,3.8,36.1,23.8,23.7,3.9,8.6,3.8,AMS,SJM,BCR,MSFT,JNJ,SYK,IMB,PM,SGE,IHG,285.25,267.1
2016-08-31,8.2,67.2,1912,28.0,61.5,22.1,0.0,5.1,3.4,2.0,1.9,4.0,35.3,23.9,24.4,4.1,8.3,4.0,AMS,BCR,MSFT,SJM,IDXX,PM,IMB,SYK,IHG,JNJ,288.59,270.23
2016-09-30,8.5,68.2,1912,28.0,62.7,21.7,0.0,5.3,3.3,2.1,2.2,2.7,36.2,24.6,24.6,3.9,8.0,2.7,AMS,MSFT,BCR,IDXX,PEP,PM,SJM,PYPL,IMB,SYK,290.83,272.32
2016-10-31,8.9,70.6,1912,29.0,63.9,20.4,0.3,5.4,3.2,2.0,2.2,2.6,36.2,25.2,24.6,3.8,7.6,2.6,AMS,MSFT,BCR,PYPL,PEP,SYK,PM,SJM,JNJ,IDXX,298.04,279.07
